name,title,record_type,case_number,filing_date,jurisdiction,address,description,url
The Bravo Group,Organization filing - The Bravo Group,organization_filing,,,"New York City, NY","20 Cooper Square, New York, NY","We strive to be our client's most valuable business partner. We provice our clients with resonant brand experiences that secure brand loyalty by creating distinctive, relevant and emotional connections between the evolving Hispanic market and our clients' brands.",https://data.cityofnewyork.us/Business/Hispanic-Owned-Businesses/9z9b-6hvk
Aragon Advertising,Organization filing - Aragon Advertising,organization_filing,,,"New York City, NY","96-17 69th Avenue, New York, NY","Aragon Advertising is dedicated to using its extensive consumer insight and vast product experience to help advertisers gain leadership positions in the Hispanic market. We combine big agency capabilites with personal, hands-on, small agency service to help brands increase market share and reach marketing goals.",https://data.cityofnewyork.us/Business/Hispanic-Owned-Businesses/9z9b-6hvk
d exposito & partners llc,Organization filing - d exposito & partners llc,organization_filing,,,"New York City, NY","875 Ave. of the Americas, New York, NY","Mission statement: To deliver work that: - Moves! Products, Services, Hearts, Minds - Delights! Breaks through, Entertains, Captivates, Connects - Sells! Builds Brands, Profitability, ROI.",https://data.cityofnewyork.us/Business/Hispanic-Owned-Businesses/9z9b-6hvk
Caicedo Productions,Organization filing - Caicedo Productions,organization_filing,,,"New York City, NY","7304 5th Avenue, New York, NY","Caicedo Productions was founded by Veronica Caicedo in 1990. The company's mission continues to be that of providing creative and technical space for actors, writers and visual artists from inter-related genres (i.e. theater, film video and television). It seeks to have them shared and cooperatively develop their concepts in an environment that seeks to support and bring to the audiences their Ã¢â¬Åminds eyeÃ¢â¬Â creations.",https://data.cityofnewyork.us/Business/Hispanic-Owned-Businesses/9z9b-6hvk
Metro Newspaper Advertising Services,Organization filing - Metro Newspaper Advertising Services,organization_filing,,,"New York City, NY","8 W. 38th Street, New York, NY","Our mission is twofold: Demonstrate the effectiveness and efficieny of newspapers to advertisers, and bring our 70+ years of newpaper planning and execution to the Hispanic and other multicultural markets.",https://data.cityofnewyork.us/Business/Hispanic-Owned-Businesses/9z9b-6hvk
"Vivelo!, A Clear Channel Entertainment Televisa Company","Organization filing - Vivelo!, A Clear Channel Entertainment Televisa Company",organization_filing,,,"New York City, NY","220 West 42nd Street, New York, NY","Vivelo! is an entertainment, lifestyle marketing and promotions company focused on the U.S. based Hispanic market. Our areas of expertise include, production of events, concert tours, soccer events, development of proprietary programs and promotions targeting the Hispanic community.",https://data.cityofnewyork.us/Business/Hispanic-Owned-Businesses/9z9b-6hvk
Business Latino,Organization filing - Business Latino,organization_filing,,,"New York City, NY","Rockefeller Center 1230 Avenue of the Americas, Ste 7T, New York, NY","Business Latino is a publication devoted to the financial business and trade goings on in the Latino community of the United States with an emphasis in the New York Tri-State area.

Trade with Latin America in this globalized world which is a very important component in this business equation is fully covered in the pages of Business Latino.

Food be imported from Latin America to the US or exported to Latin America from US plays an immense role in the economies of  Latin countries From MÃ©xico to Colombia and  Argentina and other countries in between food exports to the United States and other parts of the world are often vital to economic well being of those nations And in turn for thousands of businesses in the US who depend on the timely and steady availability of those products to stay in business.",https://data.cityofnewyork.us/Business/Hispanic-Owned-Businesses/9z9b-6hvk
Latin American Video Archives,Organization filing - Latin American Video Archives,organization_filing,,,"New York City, NY","124 Washington Place, New York, NY",The Latin American Video Archives is a non-profit organization dedicated to the promotion and distribution of Latin American and U.S. Latino films and videos.,https://data.cityofnewyork.us/Business/Hispanic-Owned-Businesses/9z9b-6hvk
24 Horas,Organization filing - 24 Horas,organization_filing,,,"New York City, NY","485 Seventh Ave., New York, NY",24 Hora's is one of America's leading Spanish-language daily newspapers,https://data.cityofnewyork.us/Business/Hispanic-Owned-Businesses/9z9b-6hvk
Urban Latino Magazine,Organization filing - Urban Latino Magazine,organization_filing,,,"New York City, NY","735 Second Avenue, New York, NY","As the first lifestyle and cultural publication geared to bicultural Latinos, Urban Latino has earned its rightful place: we are the premier magazine for both male and female Latinos in the United States.",https://data.cityofnewyork.us/Business/Hispanic-Owned-Businesses/9z9b-6hvk
"Latin Force, LLC","Organization filing - Latin Force, LLC",organization_filing,,,"New York City, NY","670 Broadway, New York, NY","Latin Force, LLC is a Hispanic market consulting firm. We provide the following services: Strategic Planning, Press and Publicity, Grassroots Marketing, Events and Promotions, and Web Development.",https://data.cityofnewyork.us/Business/Hispanic-Owned-Businesses/9z9b-6hvk
REVOLUCION,Organization filing - REVOLUCION,organization_filing,,,"New York City, NY","22 West 23rd Street, New York, NY",Mission statement: INSPIRE CHANGE.,https://data.cityofnewyork.us/Business/Hispanic-Owned-Businesses/9z9b-6hvk
NBC4,Organization filing - NBC4,organization_filing,,,"New York City, NY","30 Rockefeller Plaza, New York, NY",WNBC is the flagship station of NBC/Universal serving the New York Metropolitan area.,https://data.cityofnewyork.us/Business/Hispanic-Owned-Businesses/9z9b-6hvk
MPG Diversity,Organization filing - MPG Diversity,organization_filing,,,"New York City, NY","195 Broadway, New York, NY","MPG Diversity aims to provide a full range of multicultural media services including media and market research, strategic planning, and a strong media buying operation. MPG Diversity's goal is to optimize its client's investments and to contribute to build up brand equity through effective multicultural media communication consulting.",https://data.cityofnewyork.us/Business/Hispanic-Owned-Businesses/9z9b-6hvk
Flamenco Vivo Carlota Santana,Organization filing - Flamenco Vivo Carlota Santana,organization_filing,,,"New York City, NY","4 West 43rd Street, New York, NY","Flamenco Vivo Carlota Santana is one of the nations premier flamenco and Spanish dance companies. We believe that the universal spirit of flamenco, a multicultural art form, has the power to build bridges between cultures and inspire audiences from diverse backgrounds. Artistic Director Carlota Santana leads this company of energetic dancers and musicians in powerful performances, extensive community outreach, and innovative arts education programs.",https://data.cityofnewyork.us/Business/Hispanic-Owned-Businesses/9z9b-6hvk
The Vidal Partnership,Organization filing - The Vidal Partnership,organization_filing,,,"New York City, NY","228 E. 45th St., New York, NY","Aims to be the most effective Hispanic communications agency in the US dedicated to their core business by delivering unmatched market insight, creative innovation and flawless execution across a broad range of communications disciplines.",https://data.cityofnewyork.us/Business/Hispanic-Owned-Businesses/9z9b-6hvk
RL Public Relations & Marketing,Organization filing - RL Public Relations & Marketing,organization_filing,,,"New York City, NY","27 West 20th Street, New York, NY","Young, vibrant and creative, RL Public Relations  Marketing is a bi-coastal full-service agency dedicated to developing and executing breakthrough public relations and marketing communications programs for the Latino market both in the U.S. and Latin America. Founded in 1996, RLPR is the brainchild of Argentina-born Roxana Lissa, a marketing professional and visionary who at age 25 recognized and responded to an untapped opportunity to connect clients with this growing, diverse and rich population.",https://data.cityofnewyork.us/Business/Hispanic-Owned-Businesses/9z9b-6hvk
AIM Tell-A-Vision ,Organization filing - AIM Tell-A-Vision ,organization_filing,,,"New York City, NY","201 East 16th Street, New York, NY","AIM Tell-A-Vision is a division of Artist and Idea Management and is a New York City based network of English language programming for U.S. Latinos via broadcast syndication and cable. AIM Tell-A-Vision focuses on critical, underserved markets including the U.S. born Latino market. AIM Tell-A-Vision's network of programming includes ""Urban Latino TV"", ""American Latino TV"", ""Sonidos"" and ""Latin Fuze.""  ",https://data.cityofnewyork.us/Business/Hispanic-Owned-Businesses/9z9b-6hvk
Schramm Sports & Entertainment,Organization filing - Schramm Sports & Entertainment,organization_filing,,,"New York City, NY","363 Seventh Ave., New York, NY","Schramm Sports & Entertainment is committed to serving the diverse, new American family, by marketing a variety of sports & entertainment properties that are of particular interest and appeal to America's many different sports fans and audience segments. Schramm promotes each property to is particular fan or audience segment with respect for each culture and with special attention to the interests that make each audience group unique.",https://data.cityofnewyork.us/Business/Hispanic-Owned-Businesses/9z9b-6hvk
Un Chin Magazine,Organization filing - Un Chin Magazine,organization_filing,,,"New York City, NY","1202 Lexington Avenue , New York, NY","Un Chin is the journalistic definition of avant-garde.  It is a metro lifestyle magazine that features riveting visuals, daring editorials and accentuates  the pulse of a new culture. By fusing arts, fashion, politics, language and intangible sensibilities, Un Chin redefines american culture and lifestyle bringing neglected elements from the fringe to the mainstream. This cross-gender publication is designed for trendsetters with progressive ideas, professional goals and unlimited creative energy.",https://data.cityofnewyork.us/Business/Hispanic-Owned-Businesses/9z9b-6hvk
Mediamark Research Inc.,Organization filing - Mediamark Research Inc.,organization_filing,,,"New York City, NY","75 Ninth Ave, New York, NY","MRI provides the sharpest picture possible of the American consumer: who they are, what they buy, how they think, and how they can be reached. As the nation's fastest growing minority community, MRI recognizes Hispanic consumers as a large and influential segment of the American consumer.",https://data.cityofnewyork.us/Business/Hispanic-Owned-Businesses/9z9b-6hvk
Ibernet Media,Organization filing - Ibernet Media,organization_filing,,,"New York City, NY","37-06   82 Street, Ste 3F, New York, NY",Experts in Communication and Marketing in Spain and New York Consultants creators with innovative ideas for the Hispanic market.,https://data.cityofnewyork.us/Business/Hispanic-Owned-Businesses/9z9b-6hvk
