name,title,record_type,case_number,filing_date,jurisdiction,address,description,url
"Interior Department, National Park Service","Notice of Inventory Completion: Louisiana Division of Archaeology, Office of Cultural Development, Baton Rouge, LA",public_notice,2026-15697,2026-08-03,United States,,"In accordance with the Native American Graves Protection and Repatriation Act (NAGPRA), the Louisiana Division of Archaeology has completed an inventory of human remains and has determined that there is no lineal descendant and no Indian Tribe or Native Hawaiian organization with cultural affiliation.",https://www.federalregister.gov/documents/2026/08/03/2026-15697/notice-of-inventory-completion-louisiana-division-of-archaeology-office-of-cultural-development
"Health and Human Services Department, National Institutes of Health",National Institute of Allergy and Infectious Diseases; Notice of Meeting,public_notice,2026-15696,2026-08-03,United States,,National Institute of Allergy and Infectious Diseases; Notice of Meeting,https://www.federalregister.gov/documents/2026/08/03/2026-15696/national-institute-of-allergy-and-infectious-diseases-notice-of-meeting
"Energy Department, Federal Energy Regulatory Commission","Rio Grande LNG Train 6, LLC; Notice of Intent To Prepare an Environmental Impact Statement for the Proposed Rio Grande LNG Expansion Project, Request for Comments on Environmental Issues, Notice of Public Scoping Session, and Schedule for Environmental Review",public_notice,2026-15695,2026-08-03,United States,,"Rio Grande LNG Train 6, LLC; Notice of Intent To Prepare an Environmental Impact Statement for the Proposed Rio Grande LNG Expansion Project, Request for Comments on Environmental Issues, Notice of Public Scoping Session, and Schedule for Environmental Review",https://www.federalregister.gov/documents/2026/08/03/2026-15695/rio-grande-lng-train-6-llc-notice-of-intent-to-prepare-an-environmental-impact-statement-for-the
"Energy Department, Federal Energy Regulatory Commission","Vinton Dome Storage Hub, LLC; Notice of Scoping Period Requesting Comments on Environmental Issues for the Proposed Vinton Dome Storage Hub Project",public_notice,2026-15694,2026-08-03,United States,,"Vinton Dome Storage Hub, LLC; Notice of Scoping Period Requesting Comments on Environmental Issues for the Proposed Vinton Dome Storage Hub Project",https://www.federalregister.gov/documents/2026/08/03/2026-15694/vinton-dome-storage-hub-llc-notice-of-scoping-period-requesting-comments-on-environmental-issues-for
"Energy Department, Federal Energy Regulatory Commission","Guardian Pipeline, LLC; Notice of Scoping Period Requesting Comments on Environmental Issues for the Proposed Guardian 3 Expansion Project",public_notice,2026-15693,2026-08-03,United States,,"Guardian Pipeline, LLC; Notice of Scoping Period Requesting Comments on Environmental Issues for the Proposed Guardian 3 Expansion Project",https://www.federalregister.gov/documents/2026/08/03/2026-15693/guardian-pipeline-llc-notice-of-scoping-period-requesting-comments-on-environmental-issues-for-the
"Energy Department, Federal Energy Regulatory Commission","Fall River Electric Cooperative, Inc.; Notice of Revised Schedule for Environmental Assessment",public_notice,2026-15692,2026-08-03,United States,,"Fall River Electric Cooperative, Inc.; Notice of Revised Schedule for Environmental Assessment",https://www.federalregister.gov/documents/2026/08/03/2026-15692/fall-river-electric-cooperative-inc-notice-of-revised-schedule-for-environmental-assessment
"Energy Department, Federal Energy Regulatory Commission","Alaska Energy Authority; Notice of Application for Non-Capacity Amendment of License Accepted for Filing, Soliciting Comments, Motions To Intervene, and Protests",public_notice,2026-15691,2026-08-03,United States,,"Alaska Energy Authority; Notice of Application for Non-Capacity Amendment of License Accepted for Filing, Soliciting Comments, Motions To Intervene, and Protests",https://www.federalregister.gov/documents/2026/08/03/2026-15691/alaska-energy-authority-notice-of-application-for-non-capacity-amendment-of-license-accepted-for
"Energy Department, Federal Energy Regulatory Commission",Electronic Tariff Filings; Notice of Changes to E-Tariff Validation Error Codes,public_notice,2026-15690,2026-08-03,United States,,Electronic Tariff Filings; Notice of Changes to E-Tariff Validation Error Codes,https://www.federalregister.gov/documents/2026/08/03/2026-15690/electronic-tariff-filings-notice-of-changes-to-e-tariff-validation-error-codes
"Energy Department, Federal Energy Regulatory Commission","Marlow Hydro, LLC; Notice of Intent To Prepare an Environmental Assessment",public_notice,2026-15689,2026-08-03,United States,,"Marlow Hydro, LLC; Notice of Intent To Prepare an Environmental Assessment",https://www.federalregister.gov/documents/2026/08/03/2026-15689/marlow-hydro-llc-notice-of-intent-to-prepare-an-environmental-assessment
"Health and Human Services Department, National Institutes of Health",National Institute of Allergy and Infectious Diseases; Notice of Meetings,public_notice,2026-15688,2026-08-03,United States,,National Institute of Allergy and Infectious Diseases; Notice of Meetings,https://www.federalregister.gov/documents/2026/08/03/2026-15688/national-institute-of-allergy-and-infectious-diseases-notice-of-meetings
"Commerce Department, Foreign-Trade Zones Board","Foreign-Trade Zone 222; Application for Subzone; Vulcaflex Inc.; Auburn, Alabama",public_notice,2026-15687,2026-08-03,United States,,"Foreign-Trade Zone 222; Application for Subzone; Vulcaflex Inc.; Auburn, Alabama",https://www.federalregister.gov/documents/2026/08/03/2026-15687/foreign-trade-zone-222-application-for-subzone-vulcaflex-inc-auburn-alabama
Federal Communications Commission,Information Collection Being Reviewed by the Federal Communications Commission,public_notice,2026-15685,2026-08-03,United States,,"As part of its continuing effort to reduce paperwork burdens, and as required by the Paperwork Reduction Act (PRA) of 1995, the Federal Communications Commission (FCC or the Commission) invites the general public and other Federal agencies to take this opportunity to comment on the following information collection. Comments are requested concerning: whether the proposed collection of information is necessary for the proper performance of the functions of the Commission, including whether the information shall have practical utility; the accuracy of the Commission's burden estimate; ways to enhance the quality, utility, and clarity of the information collected; ways to minimize the burden of the collection of information on the respondents, including the use of automated collection techniques or other forms of information technology; and ways to further reduce the information collection burden on small business concerns with fewer than 25 employees.",https://www.federalregister.gov/documents/2026/08/03/2026-15685/information-collection-being-reviewed-by-the-federal-communications-commission
"Commerce Department, National Oceanic and Atmospheric Administration",Atlantic Highly Migratory Species; Meeting of the Atlantic Highly Migratory Species Advisory Panel,public_notice,2026-15684,2026-08-03,United States,,NMFS will hold a 2-day hybrid Atlantic Highly Migratory Species (HMS) Advisory Panel (AP) meeting in September 2026. The intent of the meeting is to consider options for the conservation and management of HMS. The meeting is open to the public.,https://www.federalregister.gov/documents/2026/08/03/2026-15684/atlantic-highly-migratory-species-meeting-of-the-atlantic-highly-migratory-species-advisory-panel
"Commerce Department, Foreign-Trade Zones Board","Foreign-Trade Zone 57; Application for Subzone; AUMOVIO Systems, Inc.; Morganton, North Carolina",public_notice,2026-15683,2026-08-03,United States,,"Foreign-Trade Zone 57; Application for Subzone; AUMOVIO Systems, Inc.; Morganton, North Carolina",https://www.federalregister.gov/documents/2026/08/03/2026-15683/foreign-trade-zone-57-application-for-subzone-aumovio-systems-inc-morganton-north-carolina
"Health and Human Services Department, National Institutes of Health",National Institute of Mental Health; Notice of Closed Meeting,public_notice,2026-15682,2026-08-03,United States,,National Institute of Mental Health; Notice of Closed Meeting,https://www.federalregister.gov/documents/2026/08/03/2026-15682/national-institute-of-mental-health-notice-of-closed-meeting
"Health and Human Services Department, National Institutes of Health",National Center for Advancing Translational Sciences; Notice of Meeting,public_notice,2026-15679,2026-08-03,United States,,National Center for Advancing Translational Sciences; Notice of Meeting,https://www.federalregister.gov/documents/2026/08/03/2026-15679/national-center-for-advancing-translational-sciences-notice-of-meeting
Federal Communications Commission,Information Collection Being Reviewed by the Federal Communications Commission,public_notice,2026-15678,2026-08-03,United States,,"As part of its continuing effort to reduce paperwork burdens, and as required by the Paperwork Reduction Act (PRA) of 1995, the Federal Communications Commission (FCC or the Commission) invites the general public and other Federal agencies to take this opportunity to comment on the following information collection. Comments are requested concerning: whether the proposed collection of information is necessary for the proper performance of the functions of the Commission, including whether the information shall have practical utility; the accuracy of the Commission's burden estimate; ways to enhance the quality, utility, and clarity of the information collected; ways to minimize the burden of the collection of information on the respondents, including the use of automated collection techniques or other forms of information technology; and ways to further reduce the information collection burden on small business concerns with fewer than 25 employees.",https://www.federalregister.gov/documents/2026/08/03/2026-15678/information-collection-being-reviewed-by-the-federal-communications-commission
"Transportation Department, Federal Railroad Administration",Massachusetts Bay Transportation Authority's Request To Amend Its Positive Train Control Safety Plan and Positive Train Control System,public_notice,2026-15674,2026-08-03,United States,,"This document provides the public with notice that, on July 22, 2026, the Massachusetts Bay Transportation Authority (MBTA) submitted a request for amendment (RFA) to its FRA-approved Positive Train Control Safety Plan (PTCSP).",https://www.federalregister.gov/documents/2026/08/03/2026-15674/massachusetts-bay-transportation-authoritys-request-to-amend-its-positive-train-control-safety-plan
"Labor Department, Employment and Training Administration",Labor Certification Process for the Temporary Employment of Foreign Workers in Agriculture in the United States: Adverse Effect Wage Rate Updates for Non-Range Occupations,public_notice,2026-15673,2026-08-03,United States,,"The Employment and Training Administration (ETA) of the Department of Labor (DOL) is issuing this notice to announce updates to the Adverse Effect Wage Rates (AEWR) for the employment of temporary or seasonal nonimmigrant foreign workers (H-2A workers) to perform agricultural labor or services in non-range occupations. AEWRs are the minimum wage rates that must be offered, advertised in recruitment, and paid by employers to H-2A workers and workers in corresponding employment to ensure that the wages and working conditions of workers in the United States similarly employed are not adversely affected.",https://www.federalregister.gov/documents/2026/08/03/2026-15673/labor-certification-process-for-the-temporary-employment-of-foreign-workers-in-agriculture-in-the
